Timestamp,Recv_Time,Roll,Pitch,Raw_Line
17:26:29.599,1769592389.599484,-21.318027,48.100777,"-21.318027, 48.100777"
17:26:29.600,1769592389.6015894,-21.318027,48.100777,"-21.318027, 48.100777"
17:26:29.601,1769592389.6015894,-20.503395,48.558929,"-20.503395, 48.558929"
17:26:29.602,1769592389.6021004,-20.503395,48.558929,"-20.503395, 48.558929"
17:26:29.602,1769592389.6021004,-20.064026,48.928566,"-20.064026, 48.928566"
17:26:29.603,1769592389.6031263,-20.064026,48.928566,"-20.064026, 48.928566"
17:26:29.603,1769592389.6036434,-20.064026,48.928566,"-20.064026, 48.928566"
17:26:29.604,1769592389.6048226,-20.110428,48.7565,"-20.110428, 48.756500"
17:26:29.604,1769592389.6048226,-20.110428,48.7565,"-20.110428, 48.756500"
17:26:29.604,1769592389.6048226,-20.110428,48.7565,"-20.110428, 48.756500"
17:26:29.605,1769592389.6058908,-20.700993,48.676056,"-20.700993, 48.676056"
17:26:29.605,1769592389.6058908,-20.700993,48.676056,"-20.700993, 48.676056"
17:26:29.605,1769592389.6058908,-21.598753,48.445503,"-21.598753, 48.445503"
17:26:29.606,1769592389.6068892,-21.598753,48.445503,"-21.598753, 48.445503"
17:26:29.606,1769592389.6068892,-21.598753,48.445503,"-21.598753, 48.445503"
17:26:29.606,1769592389.6079452,-22.314175,48.450367,"-22.314175, 48.450367"
17:26:29.607,1769592389.6079452,-22.314175,48.450367,"-22.314175, 48.450367"
17:26:29.607,1769592389.6079452,-22.314175,48.450367,"-22.314175, 48.450367"
17:26:29.607,1769592389.6079452,-22.757841,48.161983,"-22.757841, 48.161983"
17:26:29.609,1769592389.6094503,-22.757841,48.161983,"-22.757841, 48.161983"
17:26:29.609,1769592389.6094503,-23.005655,48.332268,"-23.005655, 48.332268"
17:26:29.609,1769592389.6094503,-23.005655,48.332268,"-23.005655, 48.332268"
17:26:29.609,1769592389.6094503,-23.005655,48.332268,"-23.005655, 48.332268"
17:26:29.611,1769592389.6110237,-22.806255,48.661858,"-22.806255, 48.661858"
17:26:29.611,1769592389.6110237,-22.806255,48.661858,"-22.806255, 48.661858"
17:26:29.611,1769592389.6115806,-22.806255,48.661858,"-22.806255, 48.661858"
17:26:29.612,1769592389.612099,-22.518944,48.870491,"-22.518944, 48.870491"
17:26:29.612,1769592389.612099,-22.518944,48.870491,"-22.518944, 48.870491"
17:26:29.612,1769592389.612099,-21.649738,48.936043,"-21.649738, 48.936043"
17:26:29.613,1769592389.613105,-21.649738,48.936043,"-21.649738, 48.936043"
17:26:29.613,1769592389.613105,-21.649738,48.936043,"-21.649738, 48.936043"
17:26:29.614,1769592389.6141715,-20.883152,49.223885,"-20.883152, 49.223885"
17:26:29.614,1769592389.6141715,-20.883152,49.223885,"-20.883152, 49.223885"
17:26:29.614,1769592389.6141715,-20.883152,49.223885,"-20.883152, 49.223885"
17:26:29.615,1769592389.6151803,-20.206089,49.094921,"-20.206089, 49.094921"
17:26:29.615,1769592389.6151803,-20.206089,49.094921,"-20.206089, 49.094921"
17:26:29.616,1769592389.6165123,-20.165421,48.893448,"-20.165421, 48.893448"
17:26:29.617,1769592389.6170206,-20.165421,48.893448,"-20.165421, 48.893448"
17:26:29.617,1769592389.617577,-20.165421,48.893448,"-20.165421, 48.893448"
17:26:29.617,1769592389.617577,-20.448399,48.755585,"-20.448399, 48.755585"
17:26:29.617,1769592389.6186175,-20.448399,48.755585,"-20.448399, 48.755585"
17:26:29.618,1769592389.6186175,-20.448399,48.755585,"-20.448399, 48.755585"
17:26:29.618,1769592389.6186175,-20.62928,48.420071,"-20.629280, 48.420071"
17:26:29.619,1769592389.6196237,-20.62928,48.420071,"-20.629280, 48.420071"
17:26:29.619,1769592389.6196237,-21.034012,48.145233,"-21.034012, 48.145233"
17:26:29.619,1769592389.6196237,-21.034012,48.145233,"-21.034012, 48.145233"
17:26:29.620,1769592389.6206877,-21.034012,48.145233,"-21.034012, 48.145233"
17:26:29.620,1769592389.6206877,-21.187708,47.852901,"-21.187708, 47.852901"
17:26:29.621,1769592389.6218355,-21.187708,47.852901,"-21.187708, 47.852901"
17:26:29.621,1769592389.6218355,-21.187708,47.852901,"-21.187708, 47.852901"
17:26:29.621,1769592389.6218355,-21.371834,47.587006,"-21.371834, 47.587006"
17:26:29.622,1769592389.6228337,-21.371834,47.587006,"-21.371834, 47.587006"
17:26:29.623,1769592389.6233447,-21.332664,47.377472,"-21.332664, 47.377472"
17:26:29.623,1769592389.6233447,-21.332664,47.377472,"-21.332664, 47.377472"
17:26:29.624,1769592389.6243496,-21.332664,47.377472,"-21.332664, 47.377472"
17:26:29.624,1769592389.6243496,-21.231144,47.519886,"-21.231144, 47.519886"
17:26:29.625,1769592389.625345,-21.231144,47.519886,"-21.231144, 47.519886"
17:26:29.625,1769592389.625345,-21.231144,47.519886,"-21.231144, 47.519886"
17:26:29.625,1769592389.625345,-20.855867,47.444038,"-20.855867, 47.444038"
17:26:29.625,1769592389.625345,-20.855867,47.444038,"-20.855867, 47.444038"
17:26:29.626,1769592389.6268492,-20.419498,47.560272,"-20.419498, 47.560272"
17:26:29.627,1769592389.6273658,-20.419498,47.560272,"-20.419498, 47.560272"
17:26:29.627,1769592389.6273658,-20.419498,47.560272,"-20.419498, 47.560272"
17:26:29.628,1769592389.6283922,-20.099716,47.528805,"-20.099716, 47.528805"
17:26:29.628,1769592389.6283922,-20.099716,47.528805,"-20.099716, 47.528805"
17:26:29.628,1769592389.6283922,-20.099716,47.528805,"-20.099716, 47.528805"
17:26:29.628,1769592389.6283922,-20.012087,47.633568,"-20.012087, 47.633568"
17:26:29.628,1769592389.6283922,-20.012087,47.633568,"-20.012087, 47.633568"
17:26:29.630,1769592389.6300993,-19.862471,47.563889,"-19.862471, 47.563889"
17:26:29.630,1769592389.6300993,-19.862471,47.563889,"-19.862471, 47.563889"
17:26:29.631,1769592389.6311042,-19.862471,47.563889,"-19.862471, 47.563889"
17:26:29.631,1769592389.6311042,-20.166979,47.341415,"-20.166979, 47.341415"
17:26:29.632,1769592389.6321683,-20.166979,47.341415,"-20.166979, 47.341415"
17:26:29.632,1769592389.6321683,-20.166979,47.341415,"-20.166979, 47.341415"
17:26:29.632,1769592389.6321683,-20.475367,47.14259,"-20.475367, 47.142590"
17:26:29.633,1769592389.6337166,-20.475367,47.14259,"-20.475367, 47.142590"
17:26:29.633,1769592389.6337166,-20.68379,47.174164,"-20.683790, 47.174164"
17:26:29.633,1769592389.6337166,-20.68379,47.174164,"-20.683790, 47.174164"
17:26:29.633,1769592389.6337166,-20.68379,47.174164,"-20.683790, 47.174164"
17:26:29.635,1769592389.6350827,-20.48753,47.024632,"-20.487530, 47.024632"
17:26:29.635,1769592389.6355872,-20.48753,47.024632,"-20.487530, 47.024632"
17:26:29.635,1769592389.6355872,-20.48753,47.024632,"-20.487530, 47.024632"
17:26:29.635,1769592389.6355872,-20.641117,47.205738,"-20.641117, 47.205738"
17:26:29.636,1769592389.6366005,-20.641117,47.205738,"-20.641117, 47.205738"
17:26:29.636,1769592389.6366005,-20.803371,47.35384,"-20.803371, 47.353840"
17:26:29.637,1769592389.6376052,-20.803371,47.35384,"-20.803371, 47.353840"
17:26:29.638,1769592389.6381204,-20.803371,47.35384,"-20.803371, 47.353840"
17:26:29.638,1769592389.6381204,-20.974579,47.553215,"-20.974579, 47.553215"
17:26:29.638,1769592389.6381204,-20.974579,47.553215,"-20.974579, 47.553215"
17:26:29.638,1769592389.6381204,-20.974579,47.553215,"-20.974579, 47.553215"
17:26:29.639,1769592389.6395507,-21.040894,47.607422,"-21.040894, 47.607422"
17:26:29.639,1769592389.6395507,-21.040894,47.607422,"-21.040894, 47.607422"
17:26:29.639,1769592389.6395507,-21.598326,47.952431,"-21.598326, 47.952431"
17:26:29.640,1769592389.640807,-21.598326,47.952431,"-21.598326, 47.952431"
17:26:29.640,1769592389.640807,-21.598326,47.952431,"-21.598326, 47.952431"
17:26:29.641,1769592389.6418076,-22.049179,47.891102,"-22.049179, 47.891102"
17:26:29.641,1769592389.6418076,-22.049179,47.891102,"-22.049179, 47.891102"
17:26:29.641,1769592389.6418076,-22.049179,47.891102,"-22.049179, 47.891102"
17:26:29.641,1769592389.6418076,-22.493786,48.179642,"-22.493786, 48.179642"
17:26:29.643,1769592389.6432827,-22.493786,48.179642,"-22.493786, 48.179642"
17:26:29.643,1769592389.6432827,-22.801165,48.392479,"-22.801165, 48.392479"
17:26:29.643,1769592389.6432827,-22.801165,48.392479,"-22.801165, 48.392479"
17:26:29.643,1769592389.6444612,-22.801165,48.392479,"-22.801165, 48.392479"
17:26:29.644,1769592389.6444612,-22.906797,48.703186,"-22.906797, 48.703186"
17:26:29.644,1769592389.6444612,-22.906797,48.703186,"-22.906797, 48.703186"
17:26:29.645,1769592389.645487,-22.906797,48.703186,"-22.906797, 48.703186"
17:26:29.645,1769592389.645487,-22.90731,48.889778,"-22.907310, 48.889778"
17:26:29.645,1769592389.645487,-22.90731,48.889778,"-22.907310, 48.889778"
17:26:29.646,1769592389.6465673,-22.651031,48.289009,"-22.651031, 48.289009"
17:26:29.646,1769592389.6465673,-22.651031,48.289009,"-22.651031, 48.289009"
17:26:29.646,1769592389.6465673,-22.651031,48.289009,"-22.651031, 48.289009"
17:26:29.646,1769592389.6465673,-22.360233,47.94891,"-22.360233, 47.948910"
17:26:29.648,1769592389.6481063,-22.360233,47.94891,"-22.360233, 47.948910"
17:26:29.649,1769592389.6492224,-22.360233,47.94891,"-22.360233, 47.948910"
17:26:29.649,1769592389.6492224,-22.212559,47.692711,"-22.212559, 47.692711"
17:26:29.649,1769592389.6497264,-22.212559,47.692711,"-22.212559, 47.692711"
17:26:29.649,1769592389.6497264,-21.72562,47.459538,"-21.725620, 47.459538"
17:26:29.650,1769592389.6507702,-21.72562,47.459538,"-21.725620, 47.459538"
17:26:29.650,1769592389.6507702,-21.72562,47.459538,"-21.725620, 47.459538"
17:26:29.650,1769592389.6507702,-21.468098,47.223053,"-21.468098, 47.223053"
17:26:29.651,1769592389.6518226,-21.468098,47.223053,"-21.468098, 47.223053"
17:26:29.651,1769592389.6518226,-21.468098,47.223053,"-21.468098, 47.223053"
17:26:29.651,1769592389.6518226,-20.829601,46.858154,"-20.829601, 46.858154"
17:26:29.651,1769592389.6518226,-20.829601,46.858154,"-20.829601, 46.858154"
17:26:29.653,1769592389.6533332,-20.424515,46.818001,"-20.424515, 46.818001"
17:26:29.653,1769592389.6533332,-20.424515,46.818001,"-20.424515, 46.818001"
